url,title,publish_date,price,price_per_sqm,usable_area,bedroom,restroom,coords,full_address,sub_district,district,province,postcode,latitude,longitude
https://www.ddproperty.com/property/we-condo-ekkamai-ramindra-วี-คอนโด-เอกมัย-รามอินทรา-ขาย-60230419,"We Condo Ekkamai-Ramindra : วี คอนโด เอกมัย–รามอินทรา, กรุงเทพ",2025-11-26,3900000.0,80679.0,48.0,2.0,1.0,"13.8436754,100.6359851","ถนนประดิษฐ์มนูธรรม, ท่าแร้ง, บางเขน, กรุงเทพ",ท่าแร้ง,บางเขน,กรุงเทพมหานคร,10220,13.8436754,100.6359851
https://www.ddproperty.com/property/ร้านค้า-ออฟฟิส-คอนโด-smart-วัชรพล-ขาย-8642871,"Smart Watcharapol : สมาร์ท คอนโด วัชรพล, กรุงเทพ",2025-11-26,1999000.0,60576.0,33.0,1.0,1.0,"13.8587723,100.6464093","ถนนวัชรพล, ท่าแร้ง, บางเขน, กรุงเทพ",ท่าแร้ง,บางเขน,กรุงเทพมหานคร,10220,13.8587723,100.6464093
https://www.ddproperty.com/property/dcondo-ramindra-ดีคอนโด-รามอินทรา-ขาย-11291092,"Dcondo Ramindra : ดีคอนโด รามอินทรา, กรุงเทพ",2025-11-26,2990000.0,49610.0,60.0,2.0,2.0,"13.8530231,100.6356194","43 ถนนรามอินทรา, ท่าแร้ง, บางเขน, กรุงเทพ",ท่าแร้ง,บางเขน,กรุงเทพมหานคร,10220,13.8530231,100.6356194
https://www.ddproperty.com/property/knightsbridge-phaholyothin-interchange-ไนท์บริดจ์-พหลโยธิน-อินเตอร์เชนจ์-ขาย-11548635,"KnightsBridge Phaholyothin Interchange : ไนท์บริดจ์ พหลโยธิน - อินเตอร์เชนจ์, กรุงเทพ",2025-11-26,5400000.0,108000.0,50.0,2.0,2.0,"13.8824483,100.6007312","พหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8824483,100.6007312
https://www.ddproperty.com/property/knightsbridge-phaholyothin-interchange-ไนท์บริดจ์-พหลโยธิน-อินเตอร์เชนจ์-ขาย-11548616,"KnightsBridge Phaholyothin Interchange : ไนท์บริดจ์ พหลโยธิน - อินเตอร์เชนจ์, กรุงเทพ",2025-11-26,3090000.0,105461.0,29.0,1.0,1.0,"13.8824483,100.6007312","พหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8824483,100.6007312
https://www.ddproperty.com/property/knightsbridge-phaholyothin-interchange-ไนท์บริดจ์-พหลโยธิน-อินเตอร์เชนจ์-ขาย-10727264,"KnightsBridge Phaholyothin Interchange : ไนท์บริดจ์ พหลโยธิน - อินเตอร์เชนจ์, กรุงเทพ",2025-11-26,5400000.0,107677.0,50.0,2.0,2.0,"13.8824483,100.6007312","พหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8824483,100.6007312
https://www.ddproperty.com/property/knightsbridge-phaholyothin-interchange-ไนท์บริดจ์-พหลโยธิน-อินเตอร์เชนจ์-ขาย-10797889,"KnightsBridge Phaholyothin Interchange : ไนท์บริดจ์ พหลโยธิน - อินเตอร์เชนจ์, กรุงเทพ",2025-11-26,5200000.0,80000.0,65.0,2.0,1.0,"13.8824483,100.6007312","พหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8824483,100.6007312
https://www.ddproperty.com/property/knightsbridge-phaholyothin-interchange-ไนท์บริดจ์-พหลโยธิน-อินเตอร์เชนจ์-ขาย-10749895,"KnightsBridge Phaholyothin Interchange : ไนท์บริดจ์ พหลโยธิน - อินเตอร์เชนจ์, กรุงเทพ",2025-11-26,3490000.0,99714.0,35.0,1.0,1.0,"13.8824483,100.6007312","พหลโยธิน, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8824483,100.6007312
https://www.ddproperty.com/property/h2-ramintra-21-เอชทู-รามอินทรา-21-ขาย-11245707,"H2 Ramintra 21 : เอชทู รามอินทรา 21, กรุงเทพ",2025-11-26,2200000.0,48889.0,45.0,2.0,2.0,"13.8673733,100.6191613","ซอยรามอินทรา 21, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8673733,100.6191613
https://www.ddproperty.com/property/modiz-interchange-โมดิซ-อินเตอร์เชนจ์-ขาย-11057868,"Modiz Interchange : โมดิซ อินเตอร์เชนจ์, กรุงเทพ",2025-11-26,1850000.0,77083.0,24.0,1.0,1.0,"13.8730827,100.5988717","ถนนรามอินทรา, อนุสาวรีย์, บางเขน, กรุงเทพ",อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,10220,13.8730827,100.5988717
